"trans_date","change_type","addon_or_removal","site","urbanrural","city","site_type","terms","ns","nsptw","nearby","week_diff"
"2008-06-08","terminal","addon","site 22","urban","Calgary","GEC",1,-2047,692,"1 | 5 | 10",39
"2008-06-08","terminal","addon","site 23","urban","Calgary","GEC",1,6687,522,"1 | 5 | 10",13
"2008-06-08","terminal","addon","site 23","urban","Calgary","GEC",1,-4088,-158,"1 | 5 | 10",26
"2008-06-08","terminal","addon","site 23","urban","Calgary","GEC",2,-8518,74,"1 | 5 | 10",39
"2008-06-08","terminal","addon","site 24","rural","Chestermere","Regular",2,-7738,840,"1 | 5 | 10",13
"2008-06-08","terminal","addon","site 24","rural","Chestermere","Regular",1,1654,-83,"1 | 5 | 10",26
"2008-06-08","terminal","addon","site 24","rural","Chestermere","Regular",1,11393,-254,"1 | 5 | 10",39
"2008-06-22","terminal","addon","site 25","urban","Edmonton","Regular",2,3455,451,"1 | 5 | 10",13
"2008-06-22","terminal","addon","site 25","urban","Edmonton","Regular",1,4022,603,"1 | 5 | 10",26
"2008-06-22","terminal","addon","site 25","urban","Edmonton","Regular",2,1695,553,"1 | 5 | 10",39
"2008-06-22","terminal","removal","site 26","urban","Calgary","Casino",1,-408,347,"1 | 5 | 10",13
"2008-06-22","terminal","removal","site 26","urban","Calgary","Casino",1,3631,922,"1 | 5 | 10",26
"2008-06-22","terminal","removal","site 26","urban","Calgary","Casino",2,-6956,482,"1 | 5 | 10",39
"2008-06-22","terminal","addon","site 27","rural","High Level","GEC",1,5847,769,"1 | 5 | 10",13
"2008-06-22","terminal","addon","site 27","rural","High Level","GEC",2,-9884,-134,"1 | 5 | 10",26
"2008-06-22","terminal","addon","site 27","rural","High Level","GEC",2,2816,506,"1 | 5 | 10",39
"2008-06-22","terminal","addon","site 28","rural","High Prairie","Regular",1,-3824,652,"1 | 5 | 10",13
"2008-06-22","terminal","addon","site 28","rural","High Prairie","Regular",1,-5684,-587,"1 | 5 | 10",26
"2008-06-22","terminal","addon","site 28","rural","High Prairie","Regular",2,-7841,-176,"1 | 5 | 10",39
"2008-06-22","terminal","addon","site 29","rural","High River","Regular",2,10232,682,"1 | 5 | 10",13
"2008-06-22","terminal","addon","site 29","rural","High River","Regular",1,7836,379,"1 | 5 | 10",26
"2008-06-22","terminal","addon","site 29","rural","High River","Regular",1,-9866,-210,"1 | 5 | 10",39
"2008-06-22","terminal","addon","site 30","rural","High Level","GEC",1,1796,-205,"1 | 5 | 10",13
"2008-06-22","terminal","addon","site 30","rural","High Level","GEC",2,7706,-658,"1 | 5 | 10",26
"2008-06-22","terminal","addon","site 30","rural","High Level","GEC",2,-7606,-732,"1 | 5 | 10",39
"2008-06-22","terminal","addon","site 31","urban","Calgary","Regular",1,2978,749,"1 | 5 | 10",13
"2008-06-22","terminal","addon","site 31","urban","Calgary","Regular",2,5685,620,"1 | 5 | 10",26
"2008-06-22","terminal","addon","site 31","urban","Calgary","Regular",2,-7939,174,"1 | 5 | 10",39
"2008-06-22","terminal","addon","site 32","urban","Edmonton","GEC",1,6932,-343,"1 | 5 | 10",13
"2008-06-22","terminal","addon","site 32","urban","Edmonton","GEC",2,2244,318,"1 | 5 | 10",26
"2008-06-22","terminal","addon","site 32","urban","Edmonton","GEC",2,-6264,888,"1 | 5 | 10",39
"2008-06-22","terminal","addon","site 33","urban","Edmonton","GEC",2,10992,-601,"1 | 5 | 10",13
"2008-06-22","terminal","addon","site 33","urban","Edmonton","GEC",1,3444,581,"1 | 5 | 10",26
"2008-06-22","terminal","addon","site 33","urban","Edmonton","GEC",2,-3681,-558,"1 | 5 | 10",39
"2008-06-22","terminal","addon","site 34","urban","Edmonton","Regular",1,-2564,320,"1 | 5 | 10",13
"2008-06-22","terminal","addon","site 34","urban","Edmonton","Regular",2,-6764,112,"1 | 5 | 10",26
"2008-06-22","terminal","addon","site 34","urban","Edmonton","Regular",2,5128,714,"1 | 5 | 10",39
"2008-06-22","terminal","addon","site 35","rural","Swan Hills","Regular",1,-6600,364,"1 | 5 | 10",13
"2008-06-22","terminal","addon","site 35","rural","Swan Hills","Regular",1,-1335,-761,"1 | 5 | 10",26
"2008-06-22","terminal","addon","site 35","rural","Swan Hills","Regular",1,6955,570,"1 | 5 | 10",39
"2008-06-29","terminal","addon","site 36","urban","Edmonton","GEC",1,8348,138,"1 | 5 | 10",13
"2008-06-29","terminal","addon","site 36","urban","Edmonton","GEC",2,35,91,"1 | 5 | 10",26
"2008-06-29","terminal","addon","site 36","urban","Edmonton","GEC",1,5786,-323,"1 | 5 | 10",39
"2008-06-29","terminal","addon","site 37","rural","Boyle","Regular",2,11403,358,"1 | 5 | 10",13
"2008-06-29","terminal","addon","site 37","rural","Boyle","Regular",1,8413,-73,"1 | 5 | 10",26
"2008-06-29","terminal","addon","site 37","rural","Boyle","Regular",2,7321,679,"1 | 5 | 10",39
"2008-06-29","terminal","addon","site 38","urban","Calgary","Regular",2,4097,-346,"1 | 5 | 10",13
"2008-06-29","terminal","addon","site 38","urban","Calgary","Regular",1,11587,532,"1 | 5 | 10",26
"2008-06-29","terminal","addon","site 38","urban","Calgary","Regular",1,-4550,-200,"1 | 5 | 10",39
"2008-06-29","terminal","addon","site 39","rural","Edson","Regular",2,11326,37,"1 | 5 | 10",13
"2008-06-29","terminal","addon","site 39","rural","Edson","Regular",1,-90,-384,"1 | 5 | 10",26
"2008-06-29","terminal","addon","site 39","rural","Edson","Regular",1,7892,-136,"1 | 5 | 10",39
"2008-06-29","terminal","addon","site 40","rural","St. Paul","Regular",2,-9926,911,"1 | 5 | 10",13
"2008-06-29","terminal","addon","site 40","rural","St. Paul","Regular",1,-2773,-454,"1 | 5 | 10",26
"2008-06-29","terminal","addon","site 40","rural","St. Paul","Regular",1,-3490,-227,"1 | 5 | 10",39
"2008-06-29","terminal","addon","site 41","rural","Lamont","Regular",1,-9717,84,"1 | 5 | 10",13
"2008-06-29","terminal","addon","site 41","rural","Lamont","Regular",1,764,-755,"1 | 5 | 10",26
"2008-06-29","terminal","addon","site 41","rural","Lamont","Regular",2,11877,302,"1 | 5 | 10",39
"2008-06-29","terminal","addon","site 42","rural","Millet","Regular",2,11541,-705,"1 | 5 | 10",13
"2008-06-29","terminal","addon","site 42","rural","Millet","Regular",1,7994,434,"1 | 5 | 10",26
"2008-06-29","terminal","addon","site 42","rural","Millet","Regular",1,-4303,396,"1 | 5 | 10",39
"2008-06-29","terminal","addon","site 43","urban","Lethbridge","GEC",1,9650,240,"1 | 5 | 10",13
"2008-06-29","terminal","addon","site 43","urban","Lethbridge","GEC",2,-6432,-294,"1 | 5 | 10",26
"2008-06-29","terminal","addon","site 43","urban","Lethbridge","GEC",1,10121,-691,"1 | 5 | 10",39
"2008-06-29","terminal","addon","site 44","rural","Sherwood Park","GEC",2,11522,287,"1 | 5 | 10",13
"2008-06-29","terminal","addon","site 44","rural","Sherwood Park","GEC",2,-5845,-121,"1 | 5 | 10",26
"2008-06-29","terminal","addon","site 44","rural","Sherwood Park","GEC",2,3852,802,"1 | 5 | 10",39
"2008-06-29","terminal","addon","site 45","urban","Calgary","Regular",2,8897,439,"1 | 5 | 10",13
"2008-06-29","terminal","addon","site 45","urban","Calgary","Regular",2,-9429,240,"1 | 5 | 10",26
"2008-06-29","terminal","addon","site 45","urban","Calgary","Regular",1,878,147,"1 | 5 | 10",39
"2008-06-29","terminal","addon","site 46","urban","Calgary","GEC",1,8302,-697,"1 | 5 | 10",13
"2008-06-29","terminal","addon","site 46","urban","Calgary","GEC",2,-9236,-591,"1 | 5 | 10",26
"2008-06-29","terminal","addon","site 46","urban","Calgary","GEC",2,11021,-50,"1 | 5 | 10",39
"2008-06-29","terminal","addon","site 47","rural","Vegreville","Regular",1,8176,762,"1 | 5 | 10",13
"2008-06-29","terminal","addon","site 47","rural","Vegreville","Regular",1,-5489,-578,"1 | 5 | 10",26
"2008-06-29","terminal","addon","site 47","rural","Vegreville","Regular",1,-8665,-719,"1 | 5 | 10",39
"2008-07-13","site","addon","site 48","rural","Niton Junction","Regular",2,1747,157,"1 | 5 | 10",13
"2008-07-13","site","addon","site 48","rural","Niton Junction","Regular",1,-5045,679,"1 | 5 | 10",26
"2008-07-13","site","addon","site 48","rural","Niton Junction","Regular",1,6506,-751,"1 | 5 | 10",39
"2008-07-13","site","addon","site 49","rural","Leduc","Regular",2,4247,347,"1 | 5 | 10",13
"2008-07-13","site","addon","site 49","rural","Leduc","Regular",1,-758,903,"1 | 5 | 10",26
"2008-07-13","site","addon","site 49","rural","Leduc","Regular",1,-1158,-59,"1 | 5 | 10",39
"2008-08-10","terminal","addon","site 50","urban","Lethbridge","Casino",2,-5173,84,"1 | 5 | 10",13
"2008-08-10","terminal","addon","site 50","urban","Lethbridge","Casino",2,-1365,144,"1 | 5 | 10",26
"2008-08-10","terminal","addon","site 50","urban","Lethbridge","Casino",2,3784,245,"1 | 5 | 10",39
"2008-08-10","terminal","addon","site 51","rural","Claresholm","Regular",1,1717,-308,"1 | 5 | 10",13
"2008-08-10","terminal","addon","site 51","rural","Claresholm","Regular",2,-6663,21,"1 | 5 | 10",26
"2008-08-10","terminal","addon","site 51","rural","Claresholm","Regular",2,-3840,855,"1 | 5 | 10",39
"2008-08-10","terminal","addon","site 52","rural","Carstairs","Regular",1,-7985,861,"1 | 5 | 10",13
"2008-08-10","terminal","addon","site 52","rural","Carstairs","Regular",1,11700,844,"1 | 5 | 10",26
"2008-08-10","terminal","addon","site 52","rural","Carstairs","Regular",2,-874,-510,"1 | 5 | 10",39
"2008-08-10","terminal","addon","site 53","rural","Redwater","Regular",2,-473,660,"1 | 5 | 10",13
"2008-08-10","terminal","addon","site 53","rural","Redwater","Regular",2,4947,290,"1 | 5 | 10",26
"2008-08-10","terminal","addon","site 53","rural","Redwater","Regular",1,7670,277,"1 | 5 | 10",39
"2008-08-10","terminal","addon","site 54","urban","Calgary","GEC",1,-3230,78,"1 | 5 | 10",13
"2008-08-10","terminal","addon","site 54","urban","Calgary","GEC",2,-8082,749,"1 | 5 | 10",26
"2008-08-10","terminal","addon","site 54","urban","Calgary","GEC",1,8336,-142,"1 | 5 | 10",39
"2008-08-10","terminal","addon","site 55","urban","Edmonton","GEC",1,-7601,-340,"1 | 5 | 10",13
"2008-08-10","terminal","addon","site 55","urban","Edmonton","GEC",2,8075,216,"1 | 5 | 10",26
"2008-08-10","terminal","addon","site 55","urban","Edmonton","GEC",1,2713,-485,"1 | 5 | 10",39
"2008-08-10","terminal","addon","site 56","rural","St. Paul","GEC",1,2442,-623,"1 | 5 | 10",13
"2008-08-10","terminal","addon","site 56","rural","St. Paul","GEC",2,7386,104,"1 | 5 | 10",26
"2008-08-10","terminal","addon","site 56","rural","St. Paul","GEC",2,237,771,"1 | 5 | 10",39
"2008-08-17","terminal","addon","site 57","urban","Camrose","Regular",2,585,902,"1 | 5 | 10",13
"2008-08-17","terminal","addon","site 57","urban","Camrose","Regular",2,176,-762,"1 | 5 | 10",26
"2008-08-17","terminal","addon","site 57","urban","Camrose","Regular",1,-7715,501,"1 | 5 | 10",39
"2008-08-17","terminal","addon","site 58","urban","Edmonton","GEC",2,3050,-667,"1 | 5 | 10",13
"2008-08-17","terminal","addon","site 58","urban","Edmonton","GEC",1,-9110,234,"1 | 5 | 10",26
"2008-08-17","terminal","addon","site 58","urban","Edmonton","GEC",1,9851,154,"1 | 5 | 10",39
"2008-08-17","terminal","addon","site 59","urban","Edmonton","Regular",1,-8759,710,"1 | 5 | 10",13
"2008-08-17","terminal","addon","site 59","urban","Edmonton","Regular",2,170,-519,"1 | 5 | 10",26
"2008-08-17","terminal","addon","site 59","urban","Edmonton","Regular",1,-8186,636,"1 | 5 | 10",39
"2008-08-17","terminal","removal","site 60","urban","Medicine Hat","Regular",2,10607,669,"1 | 5 | 10",13
"2008-08-17","terminal","removal","site 60","urban","Medicine Hat","Regular",2,1867,-453,"1 | 5 | 10",26
"2008-08-17","terminal","removal","site 60","urban","Medicine Hat","Regular",2,10941,700,"1 | 5 | 10",39
"2008-08-17","terminal","removal","site 61","urban","Calgary","Regular",2,-1682,536,"1 | 5 | 10",13
"2008-08-17","terminal","removal","site 61","urban","Calgary","Regular",1,1581,-610,"1 | 5 | 10",26
"2008-08-17","terminal","removal","site 61","urban","Calgary","Regular",2,1477,377,"1 | 5 | 10",39
"2008-08-17","terminal","addon","site 62","rural","Redwater","Regular",2,7453,101,"1 | 5 | 10",13
"2008-08-17","terminal","addon","site 62","rural","Redwater","Regular",2,6619,-61,"1 | 5 | 10",26
"2008-08-17","terminal","addon","site 62","rural","Redwater","Regular",1,-1939,833,"1 | 5 | 10",39
"2008-08-17","terminal","removal","site 63","urban","Calgary","Regular",2,10101,560,"1 | 5 | 10",13
"2008-08-17","terminal","removal","site 63","urban","Calgary","Regular",2,528,260,"1 | 5 | 10",26
"2008-08-17","terminal","removal","site 63","urban","Calgary","Regular",2,8060,624,"1 | 5 | 10",39
"2008-08-17","terminal","removal","site 64","urban","Edmonton","Regular",2,-5189,42,"1 | 5 | 10",13
"2008-08-17","terminal","removal","site 64","urban","Edmonton","Regular",2,-4003,239,"1 | 5 | 10",26
"2008-08-17","terminal","removal","site 64","urban","Edmonton","Regular",1,6271,-679,"1 | 5 | 10",39
"2008-08-17","terminal","removal","site 65","urban","Lethbridge","Regular",2,4218,424,"1 | 5 | 10",13
"2008-08-17","terminal","removal","site 65","urban","Lethbridge","Regular",1,270,649,"1 | 5 | 10",26
"2008-08-17","terminal","removal","site 65","urban","Lethbridge","Regular",1,7597,-312,"1 | 5 | 10",39
"2008-08-17","terminal","removal","site 66","urban","Calgary","Regular",2,-4688,-6,"1 | 5 | 10",13
"2008-08-17","terminal","removal","site 66","urban","Calgary","Regular",1,-2079,-509,"1 | 5 | 10",26
"2008-08-17","terminal","removal","site 66","urban","Calgary","Regular",1,2849,-53,"1 | 5 | 10",39
"2008-08-17","terminal","removal","site 67","urban","Medicine Hat","Regular",2,11670,484,"1 | 5 | 10",13
"2008-08-17","terminal","removal","site 67","urban","Medicine Hat","Regular",2,7393,52,"1 | 5 | 10",26
"2008-08-17","terminal","removal","site 67","urban","Medicine Hat","Regular",2,-9847,614,"1 | 5 | 10",39
"2008-08-17","terminal","addon","site 68","rural","Stettler","Regular",2,6162,-681,"1 | 5 | 10",13
"2008-08-17","terminal","addon","site 68","rural","Stettler","Regular",1,2266,-525,"1 | 5 | 10",26
"2008-08-17","terminal","addon","site 68","rural","Stettler","Regular",1,-9746,-550,"1 | 5 | 10",39
"2008-08-24","site","addon","site 69","urban","Lethbridge","Regular",1,-5195,-742,"1 | 5 | 10",13
"2008-08-24","site","addon","site 69","urban","Lethbridge","Regular",2,-9086,525,"1 | 5 | 10",26
"2008-08-24","site","addon","site 69","urban","Lethbridge","Regular",1,10959,886,"1 | 5 | 10",39
"2008-08-24","site","addon","site 70","urban","Medicine Hat","Regular",1,-9838,746,"1 | 5 | 10",13
"2008-08-24","site","addon","site 70","urban","Medicine Hat","Regular",2,-6236,-630,"1 | 5 | 10",26
"2008-08-24","site","addon","site 70","urban","Medicine Hat","Regular",2,-3401,268,"1 | 5 | 10",39
"2008-08-24","site","addon","site 71","urban","Calgary","Regular",2,-8659,61,"1 | 5 | 10",13
"2008-08-24","site","addon","site 71","urban","Calgary","Regular",2,-9961,-112,"1 | 5 | 10",26
"2008-08-24","site","addon","site 71","urban","Calgary","Regular",1,-1699,-731,"1 | 5 | 10",39
"2008-08-31","terminal","addon","site 72","rural","Airdrie","Regular",1,4765,-620,"1 | 5 | 10",13
"2008-08-31","terminal","addon","site 72","rural","Airdrie","Regular",2,-3109,-127,"1 | 5 | 10",26
"2008-08-31","terminal","addon","site 72","rural","Airdrie","Regular",1,-5060,-495,"1 | 5 | 10",39
"2008-08-31","terminal","addon","site 73","urban","Medicine Hat","Regular",2,8609,-349,"1 | 5 | 10",13
"2008-08-31","terminal","addon","site 73","urban","Medicine Hat","Regular",1,5987,900,"1 | 5 | 10",26
"2008-08-31","terminal","addon","site 73","urban","Medicine Hat","Regular",1,-2865,-675,"1 | 5 | 10",39
"2008-09-07","terminal","addon","site 74","rural","Athabasca","GEC",2,-539,109,"1 | 5 | 10",13
"2008-09-07","terminal","addon","site 74","rural","Athabasca","GEC",1,-2673,19,"1 | 5 | 10",26
"2008-09-07","terminal","addon","site 74","rural","Athabasca","GEC",1,6082,-733,"1 | 5 | 10",39
"2008-09-07","terminal","addon","site 75","rural","Drayton Valley","Regular",1,-2614,538,"1 | 5 | 10",13
"2008-09-07","terminal","addon","site 75","rural","Drayton Valley","Regular",1,-2835,110,"1 | 5 | 10",26
"2008-09-07","terminal","addon","site 75","rural","Drayton Valley","Regular",2,-5417,-368,"1 | 5 | 10",39
"2008-09-07","terminal","removal","site 76","rural","Delia","Regular",2,-2204,770,"1 | 5 | 10",13
"2008-09-07","terminal","removal","site 76","rural","Delia","Regular",1,-4377,-527,"1 | 5 | 10",26
"2008-09-07","terminal","removal","site 76","rural","Delia","Regular",2,1234,-122,"1 | 5 | 10",39
"2008-09-14","site","addon","site 77","urban","St. Albert","Regular",1,-2182,690,"1 | 5 | 10",13
"2008-09-14","site","addon","site 77","urban","St. Albert","Regular",2,-3058,888,"1 | 5 | 10",26
"2008-09-14","site","addon","site 77","urban","St. Albert","Regular",2,-8664,727,"1 | 5 | 10",39
"2008-09-14","site","addon","site 78","urban","Grande Prairie","Regular",2,-7347,-437,"1 | 5 | 10",13
"2008-09-14","site","addon","site 78","urban","Grande Prairie","Regular",1,-2764,468,"1 | 5 | 10",26
"2008-09-14","site","addon","site 78","urban","Grande Prairie","Regular",1,-2065,-479,"1 | 5 | 10",39
"2008-09-14","terminal","removal","site 79","urban","Red Deer","Regular",2,316,911,"1 | 5 | 10",13
"2008-09-14","terminal","removal","site 79","urban","Red Deer","Regular",2,-9522,378,"1 | 5 | 10",26
"2008-09-14","terminal","removal","site 79","urban","Red Deer","Regular",2,10917,88,"1 | 5 | 10",39
"2008-09-21","site","addon","site 80","urban","Edmonton","Regular",1,-6228,449,"1 | 5 | 10",13
"2008-09-21","site","addon","site 80","urban","Edmonton","Regular",1,-440,188,"1 | 5 | 10",26
"2008-09-21","site","addon","site 80","urban","Edmonton","Regular",1,-2782,-520,"1 | 5 | 10",39
"2008-10-05","terminal","removal","site 81","rural","Mossleigh","Regular",1,11406,448,"1 | 5 | 10",13
"2008-10-05","terminal","removal","site 81","rural","Mossleigh","Regular",1,-4864,-239,"1 | 5 | 10",26
"2008-10-05","terminal","removal","site 81","rural","Mossleigh","Regular",1,4171,660,"1 | 5 | 10",39
"2008-10-12","site","addon","site 82","rural","Darwell","Regular",2,-1113,-314,"1 | 5 | 10",13
"2008-10-12","site","addon","site 82","rural","Darwell","Regular",1,231,634,"1 | 5 | 10",26
"2008-10-12","site","addon","site 82","rural","Darwell","Regular",2,10190,-43,"1 | 5 | 10",39
"2008-10-12","terminal","removal","site 83","rural","Jenner","Regular",1,-6675,-640,"1 | 5 | 10",13
"2008-10-12","terminal","removal","site 83","rural","Jenner","Regular",2,-9277,833,"1 | 5 | 10",26
"2008-10-12","terminal","removal","site 83","rural","Jenner","Regular",1,-5143,41,"1 | 5 | 10",39
"2008-11-02","site","addon","site 84","rural","Morinville","Regular",1,3667,-385,"1 | 5 | 10",13
"2008-11-02","site","addon","site 84","rural","Morinville","Regular",1,3239,-179,"1 | 5 | 10",26
"2008-11-02","site","addon","site 84","rural","Morinville","Regular",1,8845,209,"1 | 5 | 10",39
"2008-11-02","site","addon","site 85","rural","Airdrie","Regular",2,-1270,498,"1 | 5 | 10",13
"2008-11-02","site","addon","site 85","rural","Airdrie","Regular",2,-4677,82,"1 | 5 | 10",26
"2008-11-02","site","addon","site 85","rural","Airdrie","Regular",1,-945,-611,"1 | 5 | 10",39
"2008-11-02","site","addon","site 86","rural","Wetaskiwin","Regular",2,4827,-536,"1 | 5 | 10",13
"2008-11-02","site","addon","site 86","rural","Wetaskiwin","Regular",1,6321,295,"1 | 5 | 10",26
"2008-11-02","site","addon","site 86","rural","Wetaskiwin","Regular",1,-9843,602,"1 | 5 | 10",39
"2008-11-02","site","addon","site 87","rural","Okotoks","Regular",2,-6217,13,"1 | 5 | 10",13
"2008-11-02","site","addon","site 87","rural","Okotoks","Regular",2,-2401,-763,"1 | 5 | 10",26
"2008-11-02","site","addon","site 87","rural","Okotoks","Regular",1,-6416,829,"1 | 5 | 10",39
"2008-11-09","terminal","addon","site 88","rural","Brooks","Regular",1,9307,-60,"1 | 5 | 10",13
"2008-11-09","terminal","addon","site 88","rural","Brooks","Regular",1,-9112,-276,"1 | 5 | 10",26
"2008-11-09","terminal","addon","site 88","rural","Brooks","Regular",1,910,-213,"1 | 5 | 10",39
"2008-11-09","terminal","addon","site 89","urban","Edmonton","Regular",2,-8466,-33,"1 | 5 | 10",13
"2008-11-09","terminal","addon","site 89","urban","Edmonton","Regular",2,288,292,"1 | 5 | 10",26
"2008-11-09","terminal","addon","site 89","urban","Edmonton","Regular",1,8289,244,"1 | 5 | 10",39
